E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:39, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:59, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:09:18, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:09:18, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:09:18, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:09:18, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
